Topic,Count,Name,Representation,Representative_Docs
25,69,25_laugh_funny_laughing_loud,"['laugh', 'funny', 'laughing', 'loud', 'laughed', 'laugh loud', 'hard', 'hilarious', 'laughed loud', 'lol']","['The “doomsday prepping” comment made me laugh out loud 😂😅', 'I keep pop on comments because you are literally making me laugh out loud. So glad I found you!!😊', 'Omg I F…ing Love You!!! I was seriously laughing so hard I started crying!!!! Everything you said is so true and so funny….”aren’t you at home?”…..😂LOL 😂😂😂']"
26,66,26_jesus_god_lord_christ,"['jesus', 'god', 'lord', 'christ', 'bible', 'jesus loves', 'heart', 'world', 'jesus christ', 'loves']","['At the end of the video, you were talking about your glow up goals and I LOVE those goals, they are actually meaningful in my opinion and I completely need to work on that stuff as well! But, you were talking about how you have so much stress and anxiety and i don’t know if you have thought of doing what I’m about to say or are doing it, but reading the Bible helps with stress and it helps you be a good Christian and even a good friend!! But I used to be SO stressed out and have so much anxiety and I still do, but it’s a WHOLE lot less ever since I started reading the Bible and I’m just happier overall. And I know for sure it’ll do the same for everyone if you are dedicated to having a relationship with God and you read the Bible and pray. I can’t think of any verses that help with stress and anxiety specifically off the top of my head, but if you haven’t taken this into consideration (any of yall) I recommend proverbs for wisdom, knowledge, and understanding. And Luke talks about Jesus birth, Genesis talks about his creating the world especially chapter 1. THERES ARE SO MANY VERSES THAT HELP WITH ANXIETY AND STRESS!!! I really hope anyone uses this advice and I hope it works for you!! Sorry for writing so much, just want to try and help with that and I’m trying to spread the word!!', 'There is a way to be unspotted and to dwell in everlasting LIGHT. His name is Jesus of Nazareth and HE stands at the door and knocks. Count the cost for to follow Him is to know / gnostes sorrow and to die daily to self. When you inquire with sincerity of heart ( whole heartedly ) HE will teveal to anyone that HE is real and alive forevermore. JESUS stands at the door and knocks. All things become new IN Christ. This is LOVE that never fails nor will HE leave you. His peace and Joy await. Now / TODAY is the day of Salvation. Jesus died rose and paid in full the penalty for our sins. Blessings and abundance in Jesus!', 'Ladies, looks will fade. 1 Samuel 16:7 King James Version 7 But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart. What really matters is what is in your heart. We all need new hearts through Jesus Christ. Jeremiah 17:9 9 The heart is deceitful above all things, and desperately wicked: who can know it? We are all sinners in a dyer need of a savior. Jesus died for each individual he created in this world and rose from the grave. We must just simply believe and repent and turn from our sins. In the end, all that really matters is where your soul goes when you die. It will either be in eternity with God or eternity in his wrath. Today is the day of salvation. I beg you to see the bigger picture and realize that what God thinks of you is more important than what man thinks. Jesus values you and loves you.']"
27,65,27_nurse_practitioner_nurse practitioner_routine,"['nurse', 'practitioner', 'nurse practitioner', 'routine', 'morning routine', 'health', 'morning', 'evidence', 'medicine', 'patients']","[""I find this even more concerning that she starts it with my morning routine as a NURSE PRACTITIONER, suggesting she's speaking as someone with authority about health."", '. That woman is a nurse practitioner!! What is she telling her patients to do!!!', 'I can\'t believe she\'s a Nurse Practitioner! God help whoever she is ""caring"" for! I\'m sorry but she doesn\'t seem to have either the mental or emotional intelligence to be a Nurse Practitioner! I guarantee If I met her in a doctor\'s office as a practitioner, I would walk out and not return.']"
28,63,28_beaver_wipe_wipe beaver_beaver wipe,"['beaver', 'wipe', 'wipe beaver', 'beaver wipe', 'hole', 'wipe hole', 'beaver hole', 'wipes', 'jugs', 'pardon']","['“A wipe for my beaver AND a wipe for my b-hole” I’m cooked 😂', '“A wipe for my beaver and a wipe for my b-hole” took me out 🤣', '""A wipe for my beaver, and a wipe for my b hole."" ""PARDON?"" 💀😭']"
29,61,29_students_questions_class_answer,"['students', 'questions', 'class', 'answer', 'million', 'million dollars', 'answering', 'dollars', 'school', 'lecture']","[""Wow ! The students were so dumb. No common sense couldn't even answer basic simple questions. 😢"", 'He\'s wasting his time talking to those students ....they couldn\'t answer a simple question like ""what do you do if you get a million dollars ?"" ...duh ...', ""The lecture is great, but I feel bad for the professor as the students feels kinda slow, I remember when I was a student we always was answering and sharing opinions and arguing etc, and I see that people here on the lecture just dead silent cant even answer basic questions. That's sad. Gen z kinda sad generation for this""]"
30,57,30_15_118_parts_118 parts,"['15', '118', 'parts', '118 parts', '15 minutes', 'minutes', 'sexier', 'feel sexier', '18', 'number']","['When you said 118 parts to that feel sexier series, I actually had to pause and laugh. I had guessed 16 😂', 'my jaw dropped when you revealed that there were 118 parts to the how to feel sexier series😂😂', 'My guess for the number of parts of the how to ""how to feel sexier"" series: 15 Hannah: ""there are 118 parts of this series"" What what? Whhhhy?']"
31,57,31_hoarding_hoarders_organized hoarding_organized,"['hoarding', 'hoarders', 'organized hoarding', 'organized', 'hoarder', 'hoarding hoarding', 'end hoarders', 'called hoarding', 'just hoarding', 'hoard']","['Organized hoarding is still hoarding and these ""creators"" are all hoarders.', 'Hoarding is still hoarding, even if it’s organized.', 'Organized hoarding is still hoarding']"
32,56,32_20_average_ceo_average ceo,"['20', 'average', 'ceo', 'average ceo', 'ceo makes', 'times average', '20 years', '000', '20 times', 'makes']","[""where in gods name does an AVerage AVERAGE AVERAGE CEO make 20 millions dollars a year, that's absurd"", ""There was an interesting thing Thorsten Veblen did were he did a survey and asked people if they would rather earn 50-000 a year in a town where everyone else earned 60000, or 40000 in a town where everyone else earned 30000. Almost all the respondents went for the latter. It's not really about how much money you have, it's about how much you have compared to everyone else. I live in a very poor country as an expat professional and though I earn probably 20 times the average salary, (which still isnt much by Western standards) there is so little to actually consume here that I pretty much live like everyone here does, albeit of course with much more security. And it's absolutely fine. You don't really need much more than a healthy diet and a wifi connection to function, and it's a massive relief not to waste my time and money buying for the sake of it. I'm probably happier than I've ever been."", 'Average ceo makes 20 million is the dumbest thing I’ve heard in a while']"
33,56,33_mini_haul_mini sephora_sephora haul,"['mini', 'haul', 'mini sephora', 'sephora haul', 'sephora', 'mini haul', 'size', 'products', 'products mini', 'think mini']","['i think that influencer called it a ""mini"" sephora haul because all of the products were mini sizes. i don\'t think they were referring to the haul as mini. lmao.', 'The mini sephora haul is minis , mini products', 'The ""mini"" haul was mini products, not a ""mini haul""']"
34,55,34_july_summer_september_fall,"['july', 'summer', 'september', 'fall', 'fall july', 'august', '20th', 'decorating fall', 'july 20th', 'decorating']","['the decorating for fall in july is driving me up the wall... july 20th is less than 1/3 into summer', 'Girl what do you mean july 21st is ""technically"" still summer. It could literally not be MORE summer. Fall doesnt start until September 21st, summer only just started a month before july 21st. There\'s no technically here, it IS summer and so is all of august and most of September', ""decorating for FALL in JULY is crazy. July is summer, fall isn't until september.""]"
35,51,35_sleeves_hands_sleeve_sleeves hands,"['sleeves', 'hands', 'sleeve', 'sleeves hands', 'covering', 'covering hands', 'sleeves covering', 'drives', 'sleeve thing', 'hate']","['The sleeves on the hands!! Cringe', 'The sleeves over the hands drives me INSANE.', 'The sleeves, the sleeves covering the hands or half of the hands in these videos (and restock videos) BOTHERS ME SOOO MUCH 😥']"
36,50,36_debt_credit_card debt_credit card,"['debt', 'credit', 'card debt', 'credit card', 'credit cards', 'card', 'debt debt', 'cards', 'americans', 'rich']","[""I'm curious to know how much credit card debt these people are in"", 'Debt. Debt is why we are so broke.', 'All I see in these videos is credit card debt.']"
